

2022-11-13 04:34:58: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=115, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=129.0141s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=118, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=143.4106s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=122, nmi=0.7138, ari=0.5687, ami=0.7126, time_cost=0.0670s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=125, nmi=0.7139, ari=0.5689, ami=0.7127, time_cost=0.0668s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=128, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0681s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=132, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0677s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=135, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0672s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=138, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0674s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=141, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0675s

2022-11-13 04:37:22: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=145, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0679s

2022-11-13 04:40:25: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=148, nmi=0.7162, ari=0.4671, ami=0.7149, time_cost=182.5360s

2022-11-13 04:43:18: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=151, nmi=0.7162, ari=0.4671, ami=0.7149, time_cost=173.0247s

2022-11-13 04:46:44: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=155, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=205.9349s

2022-11-13 04:50:00: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=158, nmi=0.7183, ari=0.4687, ami=0.7170, time_cost=196.4273s

2022-11-13 04:50:00: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=161, nmi=0.6718, ari=0.5028, ami=0.6704, time_cost=0.0682s

2022-11-13 04:50:00: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=165, nmi=0.6718, ari=0.5028, ami=0.6704, time_cost=0.0682s

2022-11-13 04:51:32: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=9, nmi=0.0119, ari=0.0000, ami=0.0047, time_cost=48.1985s

2022-11-13 04:52:20: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=13, nmi=0.0060, ari=0.0000, ami=0.0005, time_cost=47.4886s

2022-11-13 04:53:03: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=16, nmi=0.0110, ari=0.0000, ami=0.0048, time_cost=43.8364s

2022-11-13 04:53:56: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=19, nmi=0.0346, ari=0.0004, ami=0.0280, time_cost=52.6201s

2022-11-13 04:54:59: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=23, nmi=0.0582, ari=0.0014, ami=0.0515, time_cost=62.8141s

2022-11-13 04:56:15: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=26, nmi=0.0416, ari=0.0005, ami=0.0346, time_cost=76.1101s

2022-11-13 04:57:26: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=29, nmi=0.0290, ari=0.0002, ami=0.0219, time_cost=71.0275s

2022-11-13 04:58:27: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=33, nmi=0.0853, ari=0.0036, ami=0.0787, time_cost=61.4670s

2022-11-13 04:59:36: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=36, nmi=0.0876, ari=0.0038, ami=0.0808, time_cost=68.5235s

2022-11-13 05:00:50: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=39, nmi=0.3976, ari=0.1139, ami=0.3940, time_cost=73.9688s

2022-11-13 05:02:07: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=42, nmi=0.1363, ari=0.0085, ami=0.1305, time_cost=77.0666s

2022-11-13 05:03:33: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=46, nmi=0.1378, ari=0.0088, ami=0.1320, time_cost=86.2736s

2022-11-13 05:05:04: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=49, nmi=0.2442, ari=0.0479, ami=0.2400, time_cost=91.1058s

2022-11-13 05:06:45: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=52, nmi=0.1174, ari=0.0091, ami=0.1114, time_cost=100.6879s

2022-11-13 05:08:23: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=56, nmi=0.0969, ari=0.0045, ami=0.0910, time_cost=98.2146s

2022-11-13 05:09:32: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=59, nmi=0.0984, ari=0.0047, ami=0.0926, time_cost=68.4938s

2022-11-13 05:10:45: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=62, nmi=0.1020, ari=0.0039, ami=0.0963, time_cost=73.2100s

2022-11-13 05:12:00: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=66, nmi=0.1194, ari=0.0101, ami=0.1138, time_cost=75.2682s

2022-11-13 05:13:23: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=69, nmi=0.1194, ari=0.0101, ami=0.1138, time_cost=82.8866s

2022-11-13 05:14:46: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=72, nmi=0.1194, ari=0.0101, ami=0.1138, time_cost=83.1592s

2022-11-13 05:16:19: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=75, nmi=0.1714, ari=0.0150, ami=0.1662, time_cost=93.0428s

2022-11-13 05:17:51: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=79, nmi=0.1756, ari=0.0151, ami=0.1705, time_cost=91.8497s

2022-11-13 05:19:26: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=82, nmi=0.5054, ari=0.2735, ami=0.5031, time_cost=94.3849s

2022-11-13 05:21:04: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=85, nmi=0.6041, ari=0.2760, ami=0.6022, time_cost=98.2267s

2022-11-13 05:22:58: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=89, nmi=0.6041, ari=0.2760, ami=0.6022, time_cost=114.2866s

2022-11-13 05:24:43: segmentation datasets process:  alg_name=WassDPC(out), shape=(2310, 19), n_clusters=7, k_neighbors=92, nmi=0.6041, ari=0.2760, ami=0.6022, time_cost=105.1367s

