
2022-12-09 03:27:32: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=24, n_clusters=15, nmi=0.9414, ari=0.9288, ami=0.9410, time_cost=1.1166s

2022-12-09 03:27:33: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=25, n_clusters=15, nmi=0.9367, ari=0.9163, ami=0.9362, time_cost=1.2498s

2022-12-09 03:27:34: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=26, n_clusters=15, nmi=0.9391, ari=0.9251, ami=0.9386, time_cost=1.1254s

2022-12-09 03:27:36: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=27, n_clusters=15, nmi=0.9393, ari=0.9248, ami=0.9388, time_cost=1.1511s

2022-12-09 03:27:37: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=28, n_clusters=15, nmi=0.9334, ari=0.9138, ami=0.9329, time_cost=1.1389s

2022-12-09 03:27:38: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=29, n_clusters=15, nmi=0.9394, ari=0.9259, ami=0.9390, time_cost=1.1203s

2022-12-09 03:27:39: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=30, n_clusters=15, nmi=0.9406, ari=0.9266, ami=0.9402, time_cost=1.1642s

2022-12-09 03:27:40: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=31, n_clusters=15, nmi=0.9410, ari=0.9268, ami=0.9406, time_cost=1.2528s

2022-12-09 03:27:41: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=32, n_clusters=15, nmi=0.9397, ari=0.9259, ami=0.9393, time_cost=1.1402s

2022-12-09 03:27:43: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=33, n_clusters=15, nmi=0.9403, ari=0.9241, ami=0.9399, time_cost=1.1262s

2022-12-09 03:27:44: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=34, n_clusters=15, nmi=0.9327, ari=0.9147, ami=0.9322, time_cost=1.1514s

2022-12-09 03:27:45: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=35, n_clusters=15, nmi=0.9360, ari=0.9170, ami=0.9355, time_cost=1.1473s

2022-12-09 03:27:46: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=36, n_clusters=15, nmi=0.9416, ari=0.9278, ami=0.9412, time_cost=1.1474s

2022-12-09 03:27:47: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=37, n_clusters=15, nmi=0.9123, ari=0.8488, ami=0.9116, time_cost=1.1368s

2022-12-09 03:27:49: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=38, n_clusters=15, nmi=0.9389, ari=0.9221, ami=0.9385, time_cost=1.3593s

2022-12-09 03:27:50: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=39, n_clusters=15, nmi=0.9416, ari=0.9283, ami=0.9412, time_cost=1.1366s

2022-12-09 03:27:51: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=40, n_clusters=15, nmi=0.9431, ari=0.9304, ami=0.9427, time_cost=1.1444s

2022-12-09 03:27:52: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=41, n_clusters=15, nmi=0.9206, ari=0.8660, ami=0.9200, time_cost=1.1339s

2022-12-09 03:27:53: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=42, n_clusters=15, nmi=0.9433, ari=0.9319, ami=0.9429, time_cost=1.1440s

2022-12-09 03:27:54: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=43, n_clusters=15, nmi=0.9331, ari=0.9134, ami=0.9326, time_cost=1.1259s

2022-12-09 03:27:56: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=44, n_clusters=15, nmi=0.9359, ari=0.9181, ami=0.9354, time_cost=1.3105s

2022-12-09 03:27:57: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=45, n_clusters=15, nmi=0.9418, ari=0.9276, ami=0.9414, time_cost=1.1903s

2022-12-09 03:27:58: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=46, n_clusters=15, nmi=0.9410, ari=0.9271, ami=0.9405, time_cost=1.1637s

2022-12-09 03:27:59: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=47, n_clusters=15, nmi=0.9249, ari=0.8613, ami=0.9243, time_cost=1.1316s

2022-12-09 03:28:01: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=48, n_clusters=15, nmi=0.9398, ari=0.9251, ami=0.9394, time_cost=1.1610s

2022-12-09 03:28:02: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=49, n_clusters=15, nmi=0.9380, ari=0.9198, ami=0.9375, time_cost=1.1288s

2022-12-09 03:28:03: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=50, n_clusters=15, nmi=0.9418, ari=0.9274, ami=0.9413, time_cost=1.3183s

2022-12-09 03:28:04: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=51, n_clusters=15, nmi=0.9422, ari=0.9277, ami=0.9418, time_cost=1.1423s

2022-12-09 03:28:05: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=52, n_clusters=15, nmi=0.9129, ari=0.8435, ami=0.9122, time_cost=1.1288s

2022-12-09 03:28:07: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=53, n_clusters=15, nmi=0.9395, ari=0.9226, ami=0.9390, time_cost=1.1409s

2022-12-09 03:28:08: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=54, n_clusters=15, nmi=0.9373, ari=0.9167, ami=0.9368, time_cost=1.1350s

2022-12-09 03:28:09: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=55, n_clusters=15, nmi=0.9396, ari=0.9248, ami=0.9391, time_cost=1.1416s

2022-12-09 03:28:10: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=56, n_clusters=15, nmi=0.9339, ari=0.9127, ami=0.9334, time_cost=1.1554s

2022-12-09 03:28:11: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=57, n_clusters=15, nmi=0.9298, ari=0.9043, ami=0.9292, time_cost=1.2477s

2022-12-09 03:28:12: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=58, n_clusters=15, nmi=0.9333, ari=0.9158, ami=0.9328, time_cost=1.0604s

2022-12-09 03:28:14: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=59, n_clusters=15, nmi=0.9393, ari=0.9253, ami=0.9389, time_cost=1.1297s

2022-12-09 03:28:14: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=60, n_clusters=15, nmi=0.9370, ari=0.9145, ami=0.9366, time_cost=0.9264s

2022-12-09 03:28:16: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=61, n_clusters=15, nmi=0.9410, ari=0.9290, ami=0.9406, time_cost=1.1454s

2022-12-09 03:28:17: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=62, n_clusters=15, nmi=0.9394, ari=0.9250, ami=0.9390, time_cost=1.1270s

2022-12-09 03:28:18: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=63, n_clusters=15, nmi=0.9372, ari=0.9227, ami=0.9367, time_cost=1.2850s

2022-12-09 03:28:19: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=64, n_clusters=15, nmi=0.9377, ari=0.9199, ami=0.9373, time_cost=1.1718s

2022-12-09 03:28:20: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=65, n_clusters=15, nmi=0.9426, ari=0.9291, ami=0.9422, time_cost=0.9019s

2022-12-09 03:28:21: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=66, n_clusters=15, nmi=0.9430, ari=0.9295, ami=0.9426, time_cost=1.1267s

2022-12-09 03:28:22: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=67, n_clusters=15, nmi=0.9321, ari=0.9123, ami=0.9316, time_cost=0.8954s

2022-12-09 03:28:23: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=68, n_clusters=15, nmi=0.9364, ari=0.9188, ami=0.9359, time_cost=0.9327s

2022-12-09 03:28:24: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=69, n_clusters=15, nmi=0.9354, ari=0.9206, ami=0.9349, time_cost=1.0204s

2022-12-09 03:28:25: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=70, n_clusters=15, nmi=0.9401, ari=0.9249, ami=0.9397, time_cost=0.9247s

2022-12-09 03:28:26: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=71, n_clusters=15, nmi=0.9154, ari=0.8587, ami=0.9148, time_cost=0.9198s

2022-12-09 03:28:27: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=72, n_clusters=15, nmi=0.9339, ari=0.9163, ami=0.9334, time_cost=0.9088s

2022-12-09 03:28:28: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=73, n_clusters=15, nmi=0.9355, ari=0.9159, ami=0.9351, time_cost=0.9060s

2022-12-09 03:28:29: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=74, n_clusters=15, nmi=0.9395, ari=0.9279, ami=0.9391, time_cost=0.9301s

2022-12-09 03:28:30: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=75, n_clusters=15, nmi=0.9416, ari=0.9295, ami=0.9411, time_cost=0.9116s

2022-12-09 03:28:31: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=76, n_clusters=15, nmi=0.9331, ari=0.9144, ami=0.9326, time_cost=1.0811s

2022-12-09 03:28:32: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=77, n_clusters=15, nmi=0.9325, ari=0.9140, ami=0.9320, time_cost=0.9200s

2022-12-09 03:28:33: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=78, n_clusters=15, nmi=0.9396, ari=0.9253, ami=0.9392, time_cost=0.9128s

2022-12-09 03:28:34: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=79, n_clusters=15, nmi=0.9420, ari=0.9299, ami=0.9415, time_cost=0.9306s

2022-12-09 03:28:35: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=80, n_clusters=15, nmi=0.9409, ari=0.9270, ami=0.9405, time_cost=0.9084s

2022-12-09 03:28:36: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=81, n_clusters=15, nmi=0.9369, ari=0.9186, ami=0.9365, time_cost=0.8943s

2022-12-09 03:28:37: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=82, n_clusters=15, nmi=0.9426, ari=0.9281, ami=0.9421, time_cost=1.0659s

2022-12-09 03:28:38: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=83, n_clusters=15, nmi=0.9234, ari=0.8697, ami=0.9229, time_cost=0.9374s

2022-12-09 03:28:39: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=84, n_clusters=15, nmi=0.9409, ari=0.9260, ami=0.9405, time_cost=0.9041s

