
2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=3.0974s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=3.1715s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=3.2458s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=3.3359s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=3.4148s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=3.4897s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=3.5850s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=3.6630s

2022-12-13 23:26:40: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7916, ari=0.3762, ami=0.7817, time_cost=3.7387s

2022-12-13 23:26:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7916, ari=0.3762, ami=0.7817, time_cost=3.8327s

2022-12-13 23:26:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7916, ari=0.3762, ami=0.7817, time_cost=3.9097s

2022-12-13 23:26:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.6783, ari=0.1997, ami=0.6656, time_cost=3.9878s

2022-12-13 23:26:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.4201, ari=0.0714, ami=0.4066, time_cost=4.0827s

2022-12-13 23:26:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=4.1682s

2022-12-13 23:26:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=4.2654s

2022-12-13 23:26:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=4.3814s

2022-12-13 23:29:29: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9852, ari=0.9804, ami=0.9841, time_cost=0.1297s

2022-12-13 23:29:29: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9700, ari=0.9517, ami=0.9678, time_cost=0.2328s

2022-12-13 23:29:30: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8095, ari=0.4339, ami=0.8007, time_cost=0.3554s

2022-12-13 23:29:30: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.4711s

2022-12-13 23:29:30: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.5905s

2022-12-13 23:29:30: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.5192, ari=0.1058, ami=0.5052, time_cost=0.7138s

2022-12-13 23:29:30: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3038, ari=0.0431, ami=0.2923, time_cost=0.8309s

2022-12-13 23:29:32: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=2.8661s

2022-12-13 23:29:32: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=2.9650s

