
2022-11-14 03:58:49: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2240, nmi=0.6239, ari=0.3888, ami=0.6238, time_cost=35.3654s

2022-11-14 03:59:22: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2310, nmi=0.6233, ari=0.3884, ami=0.6232, time_cost=32.6468s

2022-11-14 03:59:55: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2380, nmi=0.6206, ari=0.3865, ami=0.6205, time_cost=33.5462s

2022-11-14 04:00:24: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2450, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=29.0153s

2022-11-14 04:00:54: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2520, nmi=0.6233, ari=0.4209, ami=0.6232, time_cost=29.6158s

2022-11-14 04:01:24: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2590, nmi=0.6282, ari=0.4384, ami=0.6281, time_cost=29.9016s

2022-11-14 04:01:55: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2660, nmi=0.6227, ari=0.4324, ami=0.6226, time_cost=30.3937s

2022-11-14 04:02:33: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2730, nmi=0.4860, ari=0.1448, ami=0.4859, time_cost=38.3400s

2022-11-14 04:03:13: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2800, nmi=0.5480, ari=0.2290, ami=0.5479, time_cost=39.8743s

2022-11-14 04:03:53: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2870, nmi=0.5414, ari=0.2132, ami=0.5412, time_cost=39.7123s

2022-11-14 04:04:34: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2940, nmi=0.6242, ari=0.3879, ami=0.6241, time_cost=40.8520s

2022-11-14 04:05:15: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3010, nmi=0.6236, ari=0.3876, ami=0.6235, time_cost=40.5876s

2022-11-14 04:05:57: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3080, nmi=0.6231, ari=0.3873, ami=0.6230, time_cost=41.8054s

2022-11-14 04:06:39: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3150, nmi=0.6224, ari=0.3867, ami=0.6223, time_cost=42.3736s

2022-11-14 04:07:22: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3220, nmi=0.6238, ari=0.3888, ami=0.6237, time_cost=43.0585s

2022-11-14 04:08:05: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3290, nmi=0.6234, ari=0.3884, ami=0.6233, time_cost=42.8329s

2022-11-14 04:08:51: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3360, nmi=0.6207, ari=0.3866, ami=0.6206, time_cost=45.2575s

2022-11-14 04:09:36: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3430, nmi=0.6198, ari=0.3862, ami=0.6197, time_cost=44.8750s

2022-11-14 04:10:12: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3500, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=36.6183s

2022-11-14 20:09:29: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=70, nmi=0.0504, ari=0.0007, ami=0.0499, time_cost=57556.7694s

2022-11-14 20:09:47: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=140, nmi=0.5130, ari=0.1791, ami=0.5129, time_cost=17.6983s

2022-11-14 20:10:05: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=210, nmi=0.5038, ari=0.1850, ami=0.5036, time_cost=17.3404s

2022-11-14 20:10:19: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=280, nmi=0.4921, ari=0.1602, ami=0.4919, time_cost=14.7792s

2022-11-14 20:10:34: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=350, nmi=0.6239, ari=0.3878, ami=0.6238, time_cost=14.9085s

2022-11-14 20:10:48: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=420, nmi=0.6226, ari=0.4197, ami=0.6225, time_cost=13.8338s

2022-11-14 20:11:06: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=490, nmi=0.6242, ari=0.3879, ami=0.6241, time_cost=16.9076s

2022-11-14 20:11:23: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=560, nmi=0.6210, ari=0.3867, ami=0.6208, time_cost=17.3099s

2022-11-14 20:11:38: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=630, nmi=0.6243, ari=0.4348, ami=0.6242, time_cost=15.2042s

2022-11-14 20:11:57: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=700, nmi=0.6243, ari=0.3877, ami=0.6242, time_cost=18.1945s

2022-11-14 20:12:16: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=770, nmi=0.6239, ari=0.3888, ami=0.6238, time_cost=19.2792s

2022-11-14 20:12:33: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=840, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=16.9638s

2022-11-14 20:12:50: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=910, nmi=0.6227, ari=0.4324, ami=0.6226, time_cost=17.1449s

2022-11-14 20:13:12: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=980, nmi=0.4878, ari=0.1489, ami=0.4876, time_cost=21.4506s

2022-11-14 20:13:35: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1050, nmi=0.6234, ari=0.3874, ami=0.6233, time_cost=22.7268s

2022-11-14 20:13:58: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1120, nmi=0.6234, ari=0.3884, ami=0.6233, time_cost=22.6157s

2022-11-14 20:14:17: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1190, nmi=0.6337, ari=0.4335, ami=0.6336, time_cost=19.6317s

2022-11-14 20:14:38: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1260, nmi=0.6281, ari=0.4384, ami=0.6280, time_cost=20.1611s

2022-11-14 20:15:02: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1330, nmi=0.4859, ari=0.1447, ami=0.4858, time_cost=24.2509s

2022-11-14 20:15:27: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1400, nmi=0.4873, ari=0.1486, ami=0.4872, time_cost=24.7836s

2022-11-14 20:15:53: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1470, nmi=0.6236, ari=0.3876, ami=0.6235, time_cost=25.8465s

2022-11-14 20:16:19: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1540, nmi=0.6224, ari=0.3868, ami=0.6223, time_cost=26.1788s

2022-11-14 20:16:46: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1610, nmi=0.6234, ari=0.3884, ami=0.6233, time_cost=26.7378s

2022-11-14 20:17:14: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1680, nmi=0.6198, ari=0.3862, ami=0.6197, time_cost=27.7047s

2022-11-14 20:17:38: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1750, nmi=0.6225, ari=0.4195, ami=0.6224, time_cost=23.7202s

2022-11-14 20:18:02: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1820, nmi=0.6282, ari=0.4384, ami=0.6281, time_cost=24.3203s

2022-11-14 20:18:34: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1890, nmi=0.4859, ari=0.1447, ami=0.4858, time_cost=31.8157s

2022-11-14 20:19:07: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=1960, nmi=0.4868, ari=0.1471, ami=0.4867, time_cost=32.5099s

2022-11-14 20:19:38: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2029, nmi=0.6242, ari=0.3876, ami=0.6241, time_cost=30.9941s

2022-11-14 20:20:10: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2100, nmi=0.6236, ari=0.3876, ami=0.6235, time_cost=32.1604s

2022-11-14 20:20:43: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2170, nmi=0.6228, ari=0.3869, ami=0.6227, time_cost=32.8891s

2022-11-14 20:21:18: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2240, nmi=0.6239, ari=0.3888, ami=0.6238, time_cost=34.7225s

2022-11-14 20:21:52: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2310, nmi=0.6233, ari=0.3884, ami=0.6232, time_cost=33.2939s

2022-11-14 20:22:26: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2380, nmi=0.6206, ari=0.3865, ami=0.6205, time_cost=34.2945s

2022-11-14 20:22:55: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2450, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=29.1838s

2022-11-14 20:23:24: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2520, nmi=0.6233, ari=0.4209, ami=0.6232, time_cost=28.9807s

2022-11-14 20:23:55: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2590, nmi=0.6282, ari=0.4384, ami=0.6281, time_cost=29.9627s

2022-11-14 20:24:24: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2660, nmi=0.6227, ari=0.4324, ami=0.6226, time_cost=29.4326s

2022-11-14 20:25:03: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2730, nmi=0.4860, ari=0.1448, ami=0.4859, time_cost=38.8602s

2022-11-14 20:25:43: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2800, nmi=0.4868, ari=0.1471, ami=0.4867, time_cost=40.1990s

2022-11-14 20:26:23: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2870, nmi=0.4878, ari=0.1489, ami=0.4876, time_cost=39.3026s

2022-11-14 20:27:04: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=2940, nmi=0.6242, ari=0.3879, ami=0.6241, time_cost=40.5754s

2022-11-14 20:27:44: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3010, nmi=0.6236, ari=0.3876, ami=0.6235, time_cost=39.8636s

2022-11-14 20:28:25: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3080, nmi=0.6231, ari=0.3873, ami=0.6230, time_cost=41.4356s

2022-11-14 20:29:07: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3150, nmi=0.6224, ari=0.3867, ami=0.6223, time_cost=41.8245s

2022-11-14 20:29:49: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3220, nmi=0.6238, ari=0.3888, ami=0.6237, time_cost=42.1343s

2022-11-14 20:30:32: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3290, nmi=0.6234, ari=0.3884, ami=0.6233, time_cost=42.7718s

2022-11-14 20:31:18: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3360, nmi=0.6207, ari=0.3866, ami=0.6206, time_cost=45.4450s

2022-11-14 20:32:03: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3430, nmi=0.6198, ari=0.3862, ami=0.6197, time_cost=44.5968s

2022-11-14 20:32:39: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=3500, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=36.5511s

2022-11-15 12:34:05: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=70, nmi=0.3903, ari=0.1425, ami=0.3901, time_cost=57686.1447s

2022-11-15 12:34:27: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=140, nmi=0.6202, ari=0.4156, ami=0.6201, time_cost=21.7338s

2022-11-15 12:34:49: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=210, nmi=0.5005, ari=0.2003, ami=0.5004, time_cost=21.2725s

2022-11-15 12:35:05: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=280, nmi=0.5811, ari=0.2855, ami=0.5810, time_cost=16.4982s

2022-11-15 12:35:21: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=350, nmi=0.6239, ari=0.3878, ami=0.6238, time_cost=15.4276s

2022-11-15 12:35:34: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=420, nmi=0.6226, ari=0.4197, ami=0.6225, time_cost=13.2113s

2022-11-15 12:35:52: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=490, nmi=0.6242, ari=0.3879, ami=0.6241, time_cost=17.6223s

2022-11-15 12:36:10: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=560, nmi=0.6012, ari=0.3928, ami=0.6010, time_cost=17.9794s

2022-11-15 12:36:26: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=630, nmi=0.6243, ari=0.4348, ami=0.6242, time_cost=15.7222s

2022-11-15 12:36:46: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=700, nmi=0.6243, ari=0.3877, ami=0.6242, time_cost=20.2517s

2022-11-15 12:37:07: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=770, nmi=0.6053, ari=0.3957, ami=0.6052, time_cost=20.6347s

2022-11-15 12:37:24: mnist_784 datasets process:  alg_name=WassDPC(out_out), shape=(70000, 784), n_clusters=10, k_neighbors=840, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=16.3437s

