
2022-12-06 16:36:47: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=32, n_clusters=10, nmi=0.6796, ari=0.4814, ami=0.6795, time_cost=17.1368s

2022-12-06 16:37:04: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=33, n_clusters=10, nmi=0.6729, ari=0.4690, ami=0.6728, time_cost=16.5792s

2022-12-06 16:37:20: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=34, n_clusters=10, nmi=0.6726, ari=0.4686, ami=0.6725, time_cost=16.2479s

2022-12-06 16:37:36: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=35, n_clusters=10, nmi=0.6737, ari=0.4697, ami=0.6736, time_cost=15.8357s

2022-12-06 16:37:52: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=36, n_clusters=10, nmi=0.6653, ari=0.4666, ami=0.6652, time_cost=15.3695s

2022-12-06 16:38:07: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=37, n_clusters=10, nmi=0.6099, ari=0.3506, ami=0.6098, time_cost=15.5202s

2022-12-06 16:38:22: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=38, n_clusters=10, nmi=0.5640, ari=0.2781, ami=0.5639, time_cost=14.6570s

2022-12-06 16:38:36: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=39, n_clusters=10, nmi=0.5629, ari=0.2777, ami=0.5628, time_cost=14.1821s

2022-12-08 17:17:36: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=40, n_clusters=10, nmi=0.6174, ari=0.3847, ami=0.6173, time_cost=13.8504s

2022-12-08 17:17:50: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=41, n_clusters=10, nmi=0.6179, ari=0.3853, ami=0.6178, time_cost=13.7266s

2022-12-08 17:18:04: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=42, n_clusters=10, nmi=0.6171, ari=0.3849, ami=0.6170, time_cost=13.5203s

2022-12-08 17:18:17: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=43, n_clusters=10, nmi=0.6301, ari=0.3963, ami=0.6300, time_cost=12.8470s

2022-12-08 17:18:29: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=44, n_clusters=10, nmi=0.6296, ari=0.3959, ami=0.6295, time_cost=12.5403s

2022-12-08 17:18:42: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=45, n_clusters=10, nmi=0.6306, ari=0.3930, ami=0.6305, time_cost=12.3054s

2022-12-08 17:18:54: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=46, n_clusters=10, nmi=0.6294, ari=0.3938, ami=0.6293, time_cost=12.4717s

2022-12-08 17:19:07: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=47, n_clusters=10, nmi=0.6292, ari=0.3939, ami=0.6291, time_cost=12.2145s

2022-12-08 17:19:19: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=48, n_clusters=10, nmi=0.6290, ari=0.3936, ami=0.6289, time_cost=11.8623s

2022-12-08 17:19:30: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=49, n_clusters=10, nmi=0.6284, ari=0.3928, ami=0.6283, time_cost=11.4194s

2022-12-08 17:19:42: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=50, n_clusters=10, nmi=0.6287, ari=0.3926, ami=0.6286, time_cost=11.6805s

2022-12-08 17:19:53: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=51, n_clusters=10, nmi=0.6304, ari=0.4005, ami=0.6304, time_cost=11.1952s

2022-12-08 17:20:04: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=52, n_clusters=10, nmi=0.6284, ari=0.3985, ami=0.6283, time_cost=10.9839s

2022-12-08 17:20:15: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=53, n_clusters=10, nmi=0.6281, ari=0.3983, ami=0.6280, time_cost=10.7780s

2022-12-08 17:20:26: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=54, n_clusters=10, nmi=0.6280, ari=0.3986, ami=0.6279, time_cost=10.9235s

2022-12-08 17:20:37: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=55, n_clusters=10, nmi=0.6287, ari=0.4007, ami=0.6286, time_cost=10.7816s

2022-12-08 17:20:48: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=56, n_clusters=10, nmi=0.6286, ari=0.4007, ami=0.6285, time_cost=10.8718s

2022-12-08 17:20:59: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=57, n_clusters=10, nmi=0.6277, ari=0.3994, ami=0.6276, time_cost=10.7216s

2022-12-08 17:21:09: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=58, n_clusters=10, nmi=0.6276, ari=0.3993, ami=0.6275, time_cost=10.3329s

2022-12-08 17:21:20: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=59, n_clusters=10, nmi=0.6273, ari=0.3993, ami=0.6272, time_cost=10.3667s

2022-12-08 17:21:30: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=60, n_clusters=10, nmi=0.6308, ari=0.4022, ami=0.6307, time_cost=10.2180s

2022-12-08 17:21:41: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=61, n_clusters=10, nmi=0.6312, ari=0.4033, ami=0.6311, time_cost=10.3359s

2022-12-08 17:21:51: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=62, n_clusters=10, nmi=0.6336, ari=0.4056, ami=0.6335, time_cost=10.2190s

2022-12-08 17:22:01: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=63, n_clusters=10, nmi=0.6280, ari=0.4139, ami=0.6279, time_cost=10.0064s

2022-12-08 17:22:11: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=64, n_clusters=10, nmi=0.6280, ari=0.4139, ami=0.6279, time_cost=9.9727s

2022-12-08 17:22:21: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=65, n_clusters=10, nmi=0.6172, ari=0.3978, ami=0.6171, time_cost=9.7043s

2022-12-08 17:22:31: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=66, n_clusters=10, nmi=0.6164, ari=0.3957, ami=0.6163, time_cost=9.7133s

2022-12-08 17:22:41: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=67, n_clusters=10, nmi=0.6164, ari=0.3958, ami=0.6163, time_cost=9.7558s

