
2022-11-13 04:15:10: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=288, nmi=0.6489, ari=0.4160, ami=0.6484, time_cost=1386.2389s

2022-11-13 04:38:17: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=297, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=1386.7744s

2022-11-13 05:03:04: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=306, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=1487.2633s

2022-11-13 05:03:04: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=315, nmi=0.8296, ari=0.7346, ami=0.8294, time_cost=0.4810s

2022-11-13 05:03:05: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=324, nmi=0.8131, ari=0.6867, ami=0.8129, time_cost=0.4743s

2022-11-13 05:03:05: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=333, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4720s

2022-11-13 05:03:06: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=342, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4250s

2022-11-13 05:03:06: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=351, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4251s

2022-11-13 05:03:07: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=360, nmi=0.8127, ari=0.6856, ami=0.8125, time_cost=0.4262s

2022-11-13 05:03:07: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=369, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.4318s

2022-11-13 05:03:07: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=378, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.4309s

2022-11-13 05:34:34: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=387, nmi=0.6464, ari=0.4125, ami=0.6460, time_cost=1886.9557s

2022-11-13 06:05:48: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=396, nmi=0.6486, ari=0.4160, ami=0.6482, time_cost=1873.7126s

2022-11-13 06:36:36: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=405, nmi=0.6486, ari=0.4160, ami=0.6482, time_cost=1847.7210s

2022-11-13 07:11:20: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=414, nmi=0.6489, ari=0.4160, ami=0.6484, time_cost=2083.9318s

2022-11-13 07:45:45: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=423, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=2064.9252s

2022-11-13 08:19:56: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=432, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=2050.8612s

2022-11-13 08:53:50: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=441, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=2034.2039s

2022-11-13 08:54:01: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=450, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=11.4399s

2022-11-13 09:00:17: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=9, nmi=0.0321, ari=0.0003, ami=0.0300, time_cost=375.5373s

2022-11-13 09:11:44: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=18, nmi=0.0690, ari=0.0061, ami=0.0671, time_cost=687.3101s

2022-11-13 09:28:40: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=27, nmi=0.1404, ari=0.0175, ami=0.1389, time_cost=1015.9078s

2022-11-13 09:35:17: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=36, nmi=0.1115, ari=0.0048, ami=0.1099, time_cost=396.9850s

2022-11-13 09:40:39: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=45, nmi=0.4119, ari=0.1691, ami=0.4111, time_cost=322.1120s

2022-11-13 09:47:03: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=54, nmi=0.4504, ari=0.1791, ami=0.4496, time_cost=383.8649s

2022-11-13 09:54:32: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=63, nmi=0.4489, ari=0.1785, ami=0.4481, time_cost=448.8839s

2022-11-13 10:02:52: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=72, nmi=0.4141, ari=0.1718, ami=0.4132, time_cost=499.9680s

2022-11-13 10:09:20: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=81, nmi=0.5586, ari=0.3578, ami=0.5581, time_cost=388.3747s

2022-11-13 10:16:38: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=90, nmi=0.5586, ari=0.3579, ami=0.5580, time_cost=437.8611s

2022-11-13 10:24:34: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=99, nmi=0.5548, ari=0.3522, ami=0.5543, time_cost=475.4552s

2022-11-13 10:24:34: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=108, nmi=0.8296, ari=0.7346, ami=0.8294, time_cost=0.3839s

2022-11-13 10:24:34: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=117, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3086s

2022-11-13 10:24:35: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=126, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3197s

2022-11-13 10:35:12: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=135, nmi=0.5543, ari=0.3516, ami=0.5538, time_cost=637.5943s

2022-11-13 10:46:40: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=144, nmi=0.5564, ari=0.3545, ami=0.5559, time_cost=687.1285s

