
2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=233, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0445s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=240, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0443s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=246, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0446s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=253, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0507s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=260, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0451s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=267, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0451s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=274, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0452s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=281, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0454s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=288, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0453s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=294, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0515s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=301, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0520s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=308, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0519s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=315, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0522s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=322, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0522s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=329, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0526s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=336, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0529s

2022-11-13 03:49:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=343, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0541s

2022-11-13 03:49:50: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=13, nmi=0.0140, ari=-0.0032, ami=0.0130, time_cost=11.7555s

2022-11-13 03:50:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=20, nmi=0.0025, ari=-0.0026, ami=0.0020, time_cost=13.9673s

2022-11-13 03:50:25: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=27, nmi=0.1137, ari=0.0452, ami=0.1130, time_cost=20.5323s

2022-11-13 03:50:37: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=34, nmi=0.0396, ari=0.0110, ami=0.0391, time_cost=11.9312s

2022-11-13 03:50:51: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=41, nmi=0.0551, ari=0.0163, ami=0.0542, time_cost=14.3715s

2022-11-13 03:51:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=48, nmi=0.0427, ari=-0.0083, ami=0.0419, time_cost=12.6478s

2022-11-13 03:51:18: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=54, nmi=0.0427, ari=-0.0083, ami=0.0419, time_cost=13.9161s

2022-11-13 03:51:34: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=61, nmi=0.0549, ari=-0.0095, ami=0.0541, time_cost=15.8304s

2022-11-13 03:51:50: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=68, nmi=0.1673, ari=0.0220, ami=0.1668, time_cost=16.7638s

