
2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=34, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0121s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=35, n_clusters=15, nmi=0.9922, ari=0.9893, ami=0.9916, time_cost=0.0126s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=36, n_clusters=15, nmi=0.9922, ari=0.9893, ami=0.9916, time_cost=0.0129s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=37, n_clusters=15, nmi=0.9547, ari=0.8127, ami=0.9518, time_cost=0.0134s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=38, n_clusters=15, nmi=0.9362, ari=0.7662, ami=0.9324, time_cost=0.0137s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=39, n_clusters=15, nmi=0.8991, ari=0.6752, ami=0.8936, time_cost=0.0141s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=40, n_clusters=15, nmi=0.8149, ari=0.4425, ami=0.8063, time_cost=0.0145s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=41, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0145s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=42, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0149s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=43, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0153s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=44, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0164s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=45, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0158s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=46, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0162s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=47, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0164s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=48, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0166s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=49, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0170s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=50, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0172s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=51, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0175s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=52, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0179s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=53, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0180s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=54, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0183s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=55, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0204s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=56, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0216s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=57, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0192s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=58, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0208s

2022-12-09 03:20:19: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=59, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0225s

2022-12-09 03:20:19: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=2, n_clusters=15, nmi=0.4981, ari=0.0033, ami=0.1227, time_cost=0.0224s

2022-12-09 03:20:19: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=3, n_clusters=15, nmi=0.5281, ari=0.0131, ami=0.2870, time_cost=0.0277s

2022-12-09 03:20:19: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=4, n_clusters=15, nmi=0.5652, ari=0.0355, ami=0.4236, time_cost=0.0312s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=5, n_clusters=15, nmi=0.6026, ari=0.0697, ami=0.5208, time_cost=0.0355s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=6, n_clusters=15, nmi=0.6428, ari=0.1307, ami=0.5955, time_cost=0.0376s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=7, n_clusters=15, nmi=0.6828, ari=0.2090, ami=0.6557, time_cost=0.0406s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=8, n_clusters=15, nmi=0.7193, ari=0.2985, ami=0.7030, time_cost=0.0431s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=9, n_clusters=15, nmi=0.7679, ari=0.4660, ami=0.7587, time_cost=0.0455s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=10, n_clusters=15, nmi=0.8256, ari=0.6737, ami=0.8206, time_cost=0.0629s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=11, n_clusters=15, nmi=0.8672, ari=0.7772, ami=0.8645, time_cost=0.0517s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=12, n_clusters=15, nmi=0.8811, ari=0.8036, ami=0.8792, time_cost=0.0684s

2022-12-09 03:20:20: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=13, n_clusters=15, nmi=0.8901, ari=0.8278, ami=0.8886, time_cost=0.0596s

